CNT,CNTRYID,CNTSCHID,CNTSTUID,ESCS,ST004D01T,ST001D01T,REPEAT,DISCLIM,TEACHSUP,COGACRCO,COGACMCO,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
COL,170.0,17000095.0,17000058.0,-0.4568,1.0,11.0,0.0,-0.0724,0.4357,-0.2748,1.1493,81.47316,343.891,381.127,369.123,311.759,351.999,395.793,402.241,370.54,373.629,383.247
COL,170.0,17000123.0,17000059.0,-1.9934,1.0,10.0,0.0,1.189,1.5558,1.1427,1.7142,47.56037,424.592,434.777,431.273,464.997,464.092,437.948,421.496,409.498,420.071,386.954
COL,170.0,17000263.0,17000060.0,-1.8541,2.0,9.0,1.0,1.7914,1.5558,-2.6865,2.1878,96.04464,293.259,253.665,311.562,259.557,317.659,266.974,295.745,264.494,247.179,344.223
COL,170.0,17000257.0,17000061.0,-0.9717,1.0,8.0,1.0,-0.0784,-0.8059,0.453,0.7685,7.99107,396.909,331.808,382.305,417.19,402.067,402.214,349.078,386.492,381.068,373.603
COL,170.0,17000120.0,17000062.0,-1.6101,2.0,10.0,1.0,,,,,86.88343,298.083,241.698,282.316,245.85,310.29,251.293,273.967,278.497,305.538,272.639
COL,170.0,17000262.0,17000063.0,0.4652,2.0,10.0,0.0,1.8153,1.5558,-2.633,-0.6111,46.23346,385.901,443.103,376.295,451.927,381.259,439.071,426.07,403.397,360.226,432.367
COL,170.0,17000065.0,17000064.0,-0.0778,2.0,10.0,0.0,-0.1126,-1.0693,-0.1256,0.6605,72.4881,540.292,522.897,526.092,564.584,568.761,551.951,528.137,531.835,519.816,504.761
COL,170.0,17000149.0,17000065.0,-0.9438,1.0,11.0,0.0,-1.8596,-0.5635,0.3493,0.9493,138.0809,453.055,440.878,426.452,427.184,413.798,427.109,453.578,417.41,452.739,416.699
COL,170.0,17000250.0,17000066.0,-1.0695,2.0,10.0,0.0,0.4029,1.5558,2.0388,1.5264,87.69916,466.885,441.468,453.392,383.774,450.257,460.449,433.584,465.801,438.722,444.812
COL,170.0,17000088.0,17000067.0,-0.3465,1.0,10.0,0.0,1.0136,1.5558,-0.4935,1.9344,45.0802,361.802,383.976,375.893,359.189,327.69,393.471,382.395,367.816,379.356,378.898
COL,170.0,17000149.0,17000068.0,-1.1026,2.0,10.0,0.0,-0.0724,-2.9095,0.2607,0.9613,125.0271,379.61,343.974,300.931,361.862,325.439,338.293,309.083,345.214,317.045,330.394
COL,170.0,17000088.0,17000070.0,-0.2207,1.0,10.0,0.0,0.6947,-0.1002,0.4035,0.7322,45.0802,358.5,332.851,350.741,363.83,389.848,376.385,322.668,355.052,328.376,338.808
COL,170.0,17000001.0,17000071.0,-0.1128,2.0,10.0,0.0,0.1295,0.8211,0.5034,1.5354,24.3533,360.471,395.123,439.031,421.486,416.507,399.778,402.172,395.979,398.715,390.597
COL,170.0,17000160.0,17000072.0,-1.708,2.0,9.0,1.0,,,,,160.9752,395.751,343.2,365.824,370.287,334.467,324.685,342.075,326.902,377.038,376.012
COL,170.0,17000256.0,17000074.0,-3.297,1.0,9.0,1.0,-1.5907,1.5558,-0.7775,1.3561,96.40105,336.805,272.632,330.788,308.924,338.034,301.02,347.973,260.998,345.228,307.776
COL,170.0,17000207.0,17000075.0,-0.3883,1.0,10.0,0.0,0.1085,-0.1002,0.0652,-0.5279,63.05496,480.575,444.307,504.568,493.097,447.147,425.852,460.631,473.772,475.623,467.419
COL,170.0,17000208.0,17000077.0,0.4654,2.0,9.0,1.0,1.8217,0.8211,0.9404,1.0969,76.79032,472.36,435.948,450.356,474.575,558.334,474.091,471.2,408.347,477.504,460.313
COL,170.0,17000262.0,17000078.0,-0.6399,2.0,9.0,1.0,-0.8699,0.4357,0.0062,0.8841,47.21586,435.874,462.896,436.004,413.212,446.374,446.232,437.984,443.995,418.122,423.769
COL,170.0,17000261.0,17000079.0,-2.8238,1.0,10.0,0.0,-0.1361,-1.0693,-0.1645,0.1627,154.7776,324.894,327.647,330.719,325.252,295.577,352.087,340.275,342.476,351.881,328.677
COL,170.0,17000263.0,17000081.0,-0.3677,1.0,10.0,0.0,-2.4539,1.5558,0.65,2.2297,84.32664,330.812,354.692,359.586,292.94,316.119,355.368,337.662,374.85,340.482,344.566
COL,170.0,17000038.0,17000082.0,-0.8605,2.0,10.0,0.0,0.2139,0.4357,0.8646,1.171,125.3172,433.126,398.395,437.312,439.154,347.25,450.126,360.908,395.485,443.706,399.939
COL,170.0,17000126.0,17000083.0,-1.9612,1.0,8.0,1.0,1.7959,,,,102.4322,338.435,235.195,268.979,273.531,305.875,303.519,296.585,289.372,298.756,283.842
COL,170.0,17000121.0,17000084.0,,2.0,10.0,,,,,,54.84756,384.205,347.16,385.118,378.827,332.437,383.327,386.348,393.267,400.198,398.672
COL,170.0,17000006.0,17000085.0,-1.8592,1.0,10.0,0.0,-0.0903,-0.1002,-0.3654,-1.2395,92.78937,397.732,388.816,398.56,405.122,425.559,380.226,458.551,394.128,425.187,435.634
COL,170.0,17000188.0,17000087.0,,1.0,10.0,,,,,,154.7776,319.166,307.614,259.721,328.864,313.528,336.19,296.04,328.625,307.326,299.957
COL,170.0,17000095.0,17000088.0,0.3961,1.0,10.0,0.0,-0.0784,-1.0693,-0.1084,0.2707,81.47316,431.121,431.896,422.716,468.234,469.066,442.01,478.456,435.972,439.95,471.375
COL,170.0,17000112.0,17000089.0,-1.2636,2.0,11.0,0.0,-0.8709,-0.1002,-0.7183,-0.4055,73.16461,437.21,385.254,417.607,385.74,407.302,386.971,404.751,405.246,412.693,389.889
COL,170.0,17000163.0,17000090.0,-1.7488,1.0,7.0,1.0,-1.1593,,0.2018,1.7664,235.1951,346.695,337.054,377.553,337.115,343.153,348.512,373.42,340.793,378.734,340.515
COL,170.0,17000250.0,17000091.0,-0.2987,2.0,9.0,1.0,0.2139,-1.0693,-0.1057,0.396,84.94412,428.24,466.794,428.832,435.879,461.726,425.256,474.353,445.997,425.075,427.831
COL,170.0,17000007.0,17000093.0,-1.5165,2.0,10.0,0.0,,,,-1.8586,39.09182,292.095,280.044,318.064,284.431,296.618,274.776,261.478,266.965,300.229,313.845
COL,170.0,17000140.0,17000094.0,-0.6439,2.0,8.0,1.0,-2.4128,1.5558,-2.2742,-0.5536,81.49805,406.863,348.391,362.505,331.078,332.593,347.448,386.521,366.095,362.623,305.126
COL,170.0,17000085.0,17000095.0,-1.4568,2.0,8.0,1.0,,,,,67.89632,343.807,327.111,258.842,285.968,300.071,301.1,310.362,298.621,298.183,283.149
COL,170.0,17000244.0,17000096.0,-1.626,1.0,9.0,0.0,-1.0423,0.4357,-0.7826,0.3452,336.1191,359.687,324.679,337.885,370.594,360.122,359.981,345.377,407.174,375.317,324.128
COL,170.0,17000257.0,17000098.0,-2.1205,1.0,10.0,0.0,-0.1668,-0.1002,2.1234,1.0033,8.26814,412.281,395.423,419.783,416.596,375.468,415.957,390.531,423.234,411.126,425.293
COL,170.0,17000206.0,17000099.0,-2.5412,1.0,10.0,0.0,-0.1273,1.5558,-0.7082,0.3985,107.0328,273.869,320.635,315.676,373.13,373.622,274.933,297.413,321.073,349.598,363.227
COL,170.0,17000102.0,17000100.0,-1.3533,2.0,10.0,0.0,-0.1114,-1.0693,-2.7713,2.4641,40.34206,330.796,385.036,379.509,346.906,416.454,393.407,330.28,391.104,357.597,403.738
COL,170.0,17000022.0,17000101.0,-3.1829,1.0,10.0,0.0,-0.0522,-0.1002,-1.2663,-1.8586,88.73002,345.039,355.869,362.24,383.726,366.671,378.051,368.752,393.661,351.067,362.605
COL,170.0,17000163.0,17000102.0,-1.4329,1.0,10.0,0.0,-2.463,-0.3322,0.0371,0.1699,199.9628,239.581,315.419,327.142,301.424,279.925,302.386,214.664,281.762,317.632,253.98
COL,170.0,17000223.0,17000103.0,,1.0,10.0,,,,,,43.28497,308.827,318.383,385.213,384.558,387.866,334.324,326.137,359.757,310.478,344.56
COL,170.0,17000255.0,17000104.0,-1.6836,2.0,9.0,1.0,,,,,78.63981,259.94,254.584,329.587,293.732,346.583,334.613,268.116,260.329,338.255,325.963
COL,170.0,17000029.0,17000105.0,-0.3462,2.0,8.0,0.0,-2.4616,-0.8059,-2.0083,-0.8463,84.11847,416.753,377.95,347.495,334.438,310.14,385.884,357.263,381.091,355.457,377.571
COL,170.0,17000071.0,17000106.0,-2.51,1.0,9.0,1.0,-0.2938,-0.1002,0.9253,0.8814,82.72118,347.423,371.337,386.518,362.818,415.807,394.906,411.52,404.291,383.9,370.263
COL,170.0,17000006.0,17000107.0,-2.4551,1.0,10.0,0.0,-0.5562,0.1475,-0.1057,-0.3194,92.78937,454.824,422.382,418.874,438.934,450.496,438.854,428.289,397.33,474.153,422.591
COL,170.0,17000101.0,17000108.0,-1.3973,1.0,10.0,0.0,0.1548,-0.1002,-0.4707,0.0713,39.15082,440.453,410.405,459.162,438.903,485.033,444.155,480.824,499.201,466.983,480.162
COL,170.0,17000227.0,17000109.0,-1.3492,1.0,11.0,0.0,1.0945,1.5558,-0.1894,2.5385,118.4389,310.47,346.747,296.047,335.331,351.691,322.714,296.845,294.108,336.057,249.511
COL,170.0,17000232.0,17000110.0,0.503,2.0,9.0,1.0,-0.2863,-0.5635,-0.6631,-1.3711,40.80342,379.878,348.494,356.777,404.64,401.208,393.15,355.038,368.731,340.321,358.865
COL,170.0,17000133.0,17000111.0,1.0592,2.0,8.0,1.0,-0.1006,,,,81.83267,436.626,422.445,402.697,418.846,432.414,401.608,380.296,412.989,435.978,393.214
COL,170.0,17000207.0,17000113.0,-1.342,1.0,10.0,0.0,1.6491,1.5558,0.2659,,63.05496,354.409,357.028,360.172,372.837,411.155,382.449,372.931,357.175,361.89,384.268
COL,170.0,17000154.0,17000114.0,-2.455,1.0,9.0,1.0,-0.0903,,,,98.52767,345.872,338.01,361.701,368.485,311.731,378.765,361.006,362.509,405.392,382.872
COL,170.0,17000082.0,17000115.0,-0.4262,2.0,7.0,1.0,-0.4914,-0.1002,-1.2372,-0.3656,49.51784,400.876,322.72,346.02,319.115,363.396,386.837,436.86,399.195,377.734,398.506
COL,170.0,17000038.0,17000116.0,-1.3801,1.0,11.0,0.0,0.7652,-0.1002,-0.2126,0.2886,134.9546,422.936,410.101,383.741,420.071,394.37,376.548,394.941,364.773,398.335,448.334
COL,170.0,17000197.0,17000117.0,-0.6468,2.0,8.0,1.0,-0.2931,-0.1002,-0.0993,0.0334,76.66284,399.628,368.261,346.451,402.73,305.406,412.72,345.949,388.701,381.814,348.672
COL,170.0,17000072.0,17000118.0,-1.3133,1.0,10.0,0.0,0.4029,1.5558,3.359,2.3455,8.76235,312.886,345.822,360.736,350.538,396.889,378.943,323.404,339.899,360.406,360.352
